lag,autocorrelation
1,-0.0031891852844569257
2,0.0993524866796942
3,-0.0315007066587067
4,0.01808478580384904
5,0.10507099538475287
6,0.060515577362304784
7,-0.012552163291338268
8,0.02366757456322827
9,-0.031583551953459146
10,0.09569871280336274
11,0.004800986810755915
12,0.04193653422082246
13,-0.025711629495658247
14,0.017074394213497254
15,0.05263376329764957
16,0.02346105512817287
17,0.06341975839755057
18,0.057678121142501794
19,-0.04870066231735431
20,-0.00020320764672704318
21,-0.061290999735632755
22,0.040744213917683805
23,0.05574451524465576
24,-0.03366892875652242
25,-0.07273105076178162
26,-0.05246562385812719
27,-0.057425762200112265
28,-0.027921279922683697
29,0.009655075146791864
30,0.06810509393589954
31,0.041595354522017305
32,-0.012961026208736666
