lag,autocorrelation
1,0.0022595704156442215
2,-0.015008195168031006
3,0.03545704601886457
4,-0.002438256471478404
5,0.01994052865072268
6,-0.009817763436861245
7,0.04532225424723627
8,-0.013877892690923436
9,-0.07244211379538613
10,0.04384514604366814
11,-0.10467022377027815
12,-0.016444046858051595
13,0.004777289961816913
14,0.0393100288622157
15,0.07556272709230327
16,-0.026593121297830733
17,-0.046459924968096596
18,-0.05992942884553461
19,0.018105028710241382
20,0.05927263758450768
21,0.03894481379370714
22,0.012095595010037792
23,0.04849545321016156
24,-0.04454177880113213
25,-0.0783955591403945
26,-0.04075541963310335
27,0.026153439061411234
28,-0.008298889696024608
29,-0.038844690013100036
30,-0.0036656667244691662
31,0.030440958330016244
32,-0.04258053062765428
