lag,autocorrelation
1,-0.0009617322221004804
2,0.00016780367912552042
3,-0.0014553119857069715
4,-0.0014237215354681145
5,-0.0011465392299380797
6,-0.0022106947551098328
7,0.00011651841145402363
8,-0.00027308469586695487
9,-0.00024080143192523298
10,-0.0013442030024870045
11,-0.0008720356022989144
12,0.0019975345642895353
13,-0.0006767788910653612
14,0.0008269554216862574
15,-0.002342470011584119
16,0.0011103655434733083
17,0.0005556819196952594
18,6.413140084726514e-05
19,-0.00115960155267904
20,0.0010727389779607596
21,-0.00015985928238759965
22,0.0006507096497136015
23,-0.0006884392110477458
24,0.001014810476636792
25,-0.0007897131120396137
26,0.00011690756761139946
27,-0.0006780257379522386
28,-0.0015806280362593219
29,-0.0010242295854880927
30,0.000112358329390945
31,-0.00030311381735698405
32,-0.0006640316919894326
