lag,autocorrelation
1,-0.0037539546579473154
2,-0.0009411997752295739
3,0.004365320529345218
4,-0.00034005579353874065
5,-0.0012561800161015467
6,-0.005783713089257503
7,-0.002178444638715993
8,-0.004756124895033581
9,0.004260009784620526
10,0.005890377981480757
11,-0.0025857786902849463
12,0.0015987453150102418
13,-0.0011733586525154885
14,0.0031921944881548054
15,-0.0002588901349560859
16,-0.0060676866166620045
17,0.0002772886046425205
18,0.0020341550729822003
19,0.0005895707139195941
20,-0.002196481977827034
21,0.0012302307273495407
22,0.004120936036403076
23,0.005784640585056116
24,-0.006126362267259549
25,-0.0038948285985086727
26,0.0018927800807941857
27,0.004587329190955999
28,0.0019285052464588243
29,0.005763885029562922
30,-0.0006394892759109242
31,6.294921258617557e-05
32,0.0009132071557792042
