lag,autocorrelation
1,0.0029112120238651822
2,-0.002264757055259215
3,-0.0017831666217998268
4,-0.004562212895074845
5,-0.0015046257463345843
6,-0.007525979904521149
7,-0.0012762877858148863
8,-0.005826527514458
9,0.001001923315620923
10,-0.003009899919439995
11,0.007716893332290872
12,0.011068337412190736
13,0.0020919983325201085
14,-0.001501707398013832
15,0.0027778813463757985
16,0.0074919347405202185
17,-0.0057170988423830785
18,0.0091351633058436
19,0.013544306303447277
20,0.0007742123842767879
21,-0.0030938027917639505
22,-0.0023846892417932323
23,0.005713821036273437
24,0.002290192134764218
25,-0.0039007957000516884
26,-0.006944175925004016
27,-0.0011780781255830034
28,-0.0019612801805613546
29,-0.002596979619438616
30,0.002076145236730064
31,0.006889860518006592
32,0.0006895514310127257
