lag,autocorrelation
1,-0.00014737472306494267
2,0.0007610834507826067
3,0.005074550654335755
4,6.18017289532055e-05
5,0.0007727724164940882
6,-0.0043656724624280665
7,-0.001412476142195299
8,0.0030206584183383816
9,1.2737779640983597e-05
10,-0.0035602996465737237
11,-0.005804039301189651
12,0.0024310296830480677
13,-0.0009096014406648625
14,0.009088020292334853
15,-0.0029768194118544263
16,0.003732441250099039
17,-0.00048188964773162256
18,-0.0007176279968695591
19,-0.0012127403160629672
20,-0.004041601256099985
21,0.002317195275466631
22,-0.0030457932342355006
23,0.002673087582178214
24,0.007143020001406286
25,0.004556647955845641
26,-0.0006584046457424376
27,4.8997803623613515e-05
28,-0.0020060203885910355
29,0.002287584077887632
30,-0.005446178065175015
31,-0.0025286731428615468
32,0.0002425840850967903
