byte_value,count,probability
0,244,0.003835513078470825
1,246,0.0038669517102615696
2,242,0.0038040744466800807
3,225,0.0035368460764587527
4,252,0.003961267605633803
5,230,0.0036154426559356135
6,253,0.003976986921529175
7,264,0.00414989939637827
8,247,0.0038826710261569415
9,250,0.003929828973843058
10,266,0.004181338028169014
11,245,0.0038512323943661973
12,240,0.003772635814889336
13,233,0.0036626006036217305
14,238,0.0037411971830985913
15,255,0.00400842555331992
16,237,0.0037254778672032194
17,239,0.0037569164989939637
18,239,0.0037569164989939637
19,222,0.0034896881287726357
20,249,0.003914109657947686
21,231,0.003631161971830986
22,237,0.0037254778672032194
23,245,0.0038512323943661973
24,236,0.003709758551307847
25,269,0.004228495975855131
26,241,0.0037883551307847083
27,246,0.0038669517102615696
28,259,0.004071302816901408
29,230,0.0036154426559356135
30,234,0.0036783199195171024
31,255,0.00400842555331992
32,268,0.004212776659959758
33,258,0.004055583501006036
34,244,0.003835513078470825
35,262,0.004118460764587525
36,267,0.004197057344064386
37,263,0.004134180080482898
38,251,0.00394554828973843
39,264,0.00414989939637827
40,265,0.004165618712273642
41,267,0.004197057344064386
42,254,0.003992706237424547
43,264,0.00414989939637827
44,238,0.0037411971830985913
45,256,0.004024144869215292
46,275,0.004322811871227364
47,274,0.0043070925553319915
48,238,0.0037411971830985913
49,269,0.004228495975855131
50,221,0.003473968812877264
51,250,0.003929828973843058
52,249,0.003914109657947686
53,225,0.0035368460764587527
54,233,0.0036626006036217305
55,258,0.004055583501006036
56,261,0.004102741448692153
57,233,0.0036626006036217305
58,253,0.003976986921529175
59,225,0.0035368460764587527
60,275,0.004322811871227364
61,227,0.003568284708249497
62,223,0.003505407444668008
63,251,0.00394554828973843
64,252,0.003961267605633803
65,264,0.00414989939637827
66,242,0.0038040744466800807
67,245,0.0038512323943661973
68,240,0.003772635814889336
69,248,0.003898390342052314
70,235,0.0036940392354124748
71,245,0.0038512323943661973
72,236,0.003709758551307847
73,247,0.0038826710261569415
74,241,0.0037883551307847083
75,235,0.0036940392354124748
76,257,0.0040398641851106636
77,237,0.0037254778672032194
78,253,0.003976986921529175
79,243,0.0038197937625754526
80,236,0.003709758551307847
81,243,0.0038197937625754526
82,260,0.004087022132796781
83,217,0.0034110915492957744
84,219,0.003442530181086519
85,250,0.003929828973843058
86,237,0.0037254778672032194
87,246,0.0038669517102615696
88,234,0.0036783199195171024
89,228,0.0035840040241448693
90,250,0.003929828973843058
91,221,0.003473968812877264
92,247,0.0038826710261569415
93,258,0.004055583501006036
94,277,0.0043542505030181086
95,242,0.0038040744466800807
96,267,0.004197057344064386
97,249,0.003914109657947686
98,262,0.004118460764587525
99,248,0.003898390342052314
100,238,0.0037411971830985913
101,244,0.003835513078470825
102,257,0.0040398641851106636
103,236,0.003709758551307847
104,276,0.004338531187122736
105,239,0.0037569164989939637
106,254,0.003992706237424547
107,275,0.004322811871227364
108,254,0.003992706237424547
109,247,0.0038826710261569415
110,250,0.003929828973843058
111,270,0.004244215291750503
112,240,0.003772635814889336
113,234,0.0036783199195171024
114,247,0.0038826710261569415
115,242,0.0038040744466800807
116,242,0.0038040744466800807
117,248,0.003898390342052314
118,232,0.003646881287726358
119,260,0.004087022132796781
120,269,0.004228495975855131
121,270,0.004244215291750503
122,252,0.003961267605633803
123,229,0.0035997233400402416
124,247,0.0038826710261569415
125,248,0.003898390342052314
126,252,0.003961267605633803
127,278,0.004369969818913481
128,256,0.004024144869215292
129,250,0.003929828973843058
130,232,0.003646881287726358
131,239,0.0037569164989939637
132,290,0.004558601609657948
133,225,0.0035368460764587527
134,251,0.00394554828973843
135,260,0.004087022132796781
136,252,0.003961267605633803
137,265,0.004165618712273642
138,239,0.0037569164989939637
139,248,0.003898390342052314
140,240,0.003772635814889336
141,256,0.004024144869215292
142,253,0.003976986921529175
143,235,0.0036940392354124748
144,262,0.004118460764587525
145,255,0.00400842555331992
146,260,0.004087022132796781
147,233,0.0036626006036217305
148,256,0.004024144869215292
149,257,0.0040398641851106636
150,275,0.004322811871227364
151,253,0.003976986921529175
152,247,0.0038826710261569415
153,262,0.004118460764587525
154,249,0.003914109657947686
155,247,0.0038826710261569415
156,246,0.0038669517102615696
157,244,0.003835513078470825
158,242,0.0038040744466800807
159,272,0.004275653923541248
160,282,0.00443284708249497
161,242,0.0038040744466800807
162,256,0.004024144869215292
163,256,0.004024144869215292
164,249,0.003914109657947686
165,249,0.003914109657947686
166,243,0.0038197937625754526
167,259,0.004071302816901408
168,211,0.0033167756539235413
169,218,0.0034268108651911468
170,272,0.004275653923541248
171,256,0.004024144869215292
172,224,0.0035211267605633804
173,249,0.003914109657947686
174,246,0.0038669517102615696
175,220,0.0034582494969818914
176,272,0.004275653923541248
177,254,0.003992706237424547
178,245,0.0038512323943661973
179,251,0.00394554828973843
180,262,0.004118460764587525
181,269,0.004228495975855131
182,259,0.004071302816901408
183,235,0.0036940392354124748
184,274,0.0043070925553319915
185,232,0.003646881287726358
186,226,0.0035525653923541246
187,215,0.00337965291750503
188,217,0.0034110915492957744
189,241,0.0037883551307847083
190,285,0.004480005030181086
191,267,0.004197057344064386
192,294,0.0046214788732394365
193,238,0.0037411971830985913
194,252,0.003961267605633803
195,264,0.00414989939637827
196,231,0.003631161971830986
197,225,0.0035368460764587527
198,254,0.003992706237424547
199,247,0.0038826710261569415
200,253,0.003976986921529175
201,255,0.00400842555331992
202,261,0.004102741448692153
203,242,0.0038040744466800807
204,217,0.0034110915492957744
205,222,0.0034896881287726357
206,258,0.004055583501006036
207,239,0.0037569164989939637
208,256,0.004024144869215292
209,240,0.003772635814889336
210,258,0.004055583501006036
211,250,0.003929828973843058
212,270,0.004244215291750503
213,248,0.003898390342052314
214,249,0.003914109657947686
215,262,0.004118460764587525
216,246,0.0038669517102615696
217,218,0.0034268108651911468
218,239,0.0037569164989939637
219,261,0.004102741448692153
220,249,0.003914109657947686
221,243,0.0038197937625754526
222,250,0.003929828973843058
223,221,0.003473968812877264
224,267,0.004197057344064386
225,251,0.00394554828973843
226,218,0.0034268108651911468
227,233,0.0036626006036217305
228,256,0.004024144869215292
229,251,0.00394554828973843
230,271,0.004259934607645875
231,255,0.00400842555331992
232,242,0.0038040744466800807
233,230,0.0036154426559356135
234,260,0.004087022132796781
235,253,0.003976986921529175
236,256,0.004024144869215292
237,226,0.0035525653923541246
238,277,0.0043542505030181086
239,291,0.0045743209255533195
240,257,0.0040398641851106636
241,267,0.004197057344064386
242,227,0.003568284708249497
243,240,0.003772635814889336
244,273,0.00429137323943662
245,260,0.004087022132796781
246,245,0.0038512323943661973
247,259,0.004071302816901408
248,244,0.003835513078470825
249,251,0.00394554828973843
250,235,0.0036940392354124748
251,244,0.003835513078470825
252,223,0.003505407444668008
253,247,0.0038826710261569415
254,245,0.0038512323943661973
255,262,0.004118460764587525
