lag,autocorrelation
1,-0.003470379883739859
2,0.004332043985239166
3,0.0006126738042265961
4,-0.00020187747031370166
5,0.005208618805198038
6,0.004995666924420461
7,-0.00139354017939423
8,-0.0025650123671397784
9,0.0008191284149343475
10,-0.004134115165407568
11,-0.0013012389959099384
12,-0.0022335573075207677
13,-0.000614828150007211
14,-0.0032786344372053534
15,0.005114860147263452
16,0.004461303665230445
17,0.0027612517791535166
18,-0.005433348924126748
19,0.0008314461716036782
20,0.0010627789325316763
21,0.005386622204498513
22,0.0022675006715110477
23,-0.0029755612486023707
24,-0.0054348960189283015
25,0.001217132555896042
26,-0.003940227266180717
27,-0.005789816720804344
28,-0.004810788447094428
29,-0.003591196282086307
30,-0.0033967501661756076
31,-0.004700372386974067
32,4.6762403218476766e-05
