byte_value,count,probability
0,264,0.003904401325130147
1,258,0.0038156649313771888
2,252,0.0037269285376242307
3,290,0.004288925698059631
4,263,0.0038896119261713205
5,282,0.00417061050638902
6,287,0.004244557501183152
7,263,0.0038896119261713205
8,266,0.0039339801230477995
9,281,0.004155821107430194
10,278,0.004111452910553715
11,254,0.0037565073355418834
12,266,0.0039339801230477995
13,273,0.004037505915759584
14,308,0.004555134879318505
15,261,0.003860033128253668
16,267,0.003948769522006626
17,264,0.003904401325130147
18,285,0.004214978703265499
19,277,0.004096663511594888
20,282,0.00417061050638902
21,268,0.003963558920965452
22,253,0.003741717936583057
23,260,0.0038452437292948415
24,276,0.004081874112636063
25,257,0.0038008755324183624
26,291,0.004303715097018457
27,268,0.003963558920965452
28,278,0.004111452910553715
29,263,0.0038896119261713205
30,271,0.004007927117841931
31,260,0.0038452437292948415
32,263,0.0038896119261713205
33,258,0.0038156649313771888
34,301,0.0044516090866067205
35,263,0.0038896119261713205
36,269,0.0039783483199242785
37,283,0.004185399905347846
38,259,0.003830454330336015
39,247,0.0036529815428300995
40,245,0.003623402744912447
41,250,0.0036973497397065785
42,257,0.0038008755324183624
43,275,0.0040670847136772366
44,279,0.004126242309512541
45,253,0.003741717936583057
46,281,0.004155821107430194
47,238,0.0035198769522006624
48,267,0.003948769522006626
49,259,0.003830454330336015
50,286,0.004229768102224325
51,274,0.00405229531471841
52,281,0.004155821107430194
53,293,0.00433329389493611
54,237,0.003505087553241836
55,246,0.003638192143871273
56,268,0.003963558920965452
57,239,0.0035346663511594888
58,271,0.004007927117841931
59,265,0.003919190724088973
60,242,0.0035790345480359678
61,279,0.004126242309512541
62,271,0.004007927117841931
63,259,0.003830454330336015
64,264,0.003904401325130147
65,285,0.004214978703265499
66,262,0.003874822527212494
67,270,0.003993137718883105
68,257,0.0038008755324183624
69,299,0.004422030288689068
70,249,0.003682560340747752
71,244,0.0036086133459536204
72,240,0.003549455750118315
73,276,0.004081874112636063
74,275,0.0040670847136772366
75,273,0.004037505915759584
76,257,0.0038008755324183624
77,254,0.0037565073355418834
78,258,0.0038156649313771888
79,270,0.003993137718883105
80,257,0.0038008755324183624
81,290,0.004288925698059631
82,273,0.004037505915759584
83,263,0.0038896119261713205
84,266,0.0039339801230477995
85,264,0.003904401325130147
86,292,0.0043185044959772835
87,259,0.003830454330336015
88,254,0.0037565073355418834
89,256,0.003786086133459536
90,262,0.003874822527212494
91,243,0.003593823946994794
92,258,0.0038156649313771888
93,265,0.003919190724088973
94,282,0.00417061050638902
95,264,0.003904401325130147
96,255,0.0037712967345007098
97,257,0.0038008755324183624
98,260,0.0038452437292948415
99,252,0.0037269285376242307
100,250,0.0036973497397065785
101,288,0.004259346900141978
102,239,0.0035346663511594888
103,278,0.004111452910553715
104,285,0.004214978703265499
105,274,0.00405229531471841
106,268,0.003963558920965452
107,263,0.0038896119261713205
108,278,0.004111452910553715
109,261,0.003860033128253668
110,242,0.0035790345480359678
111,263,0.0038896119261713205
112,234,0.0034607193563653575
113,220,0.0032536677709417887
114,236,0.0034902981542830097
115,263,0.0038896119261713205
116,266,0.0039339801230477995
117,249,0.003682560340747752
118,279,0.004126242309512541
119,280,0.004141031708471367
120,259,0.003830454330336015
121,274,0.00405229531471841
122,255,0.0037712967345007098
123,279,0.004126242309512541
124,227,0.003357193563653573
125,252,0.0037269285376242307
126,241,0.0035642451490771414
127,243,0.003593823946994794
128,265,0.003919190724088973
129,285,0.004214978703265499
130,269,0.0039783483199242785
131,248,0.003667770941788926
132,267,0.003948769522006626
133,235,0.003475508755324184
134,273,0.004037505915759584
135,270,0.003993137718883105
136,263,0.0038896119261713205
137,249,0.003682560340747752
138,278,0.004111452910553715
139,286,0.004229768102224325
140,235,0.003475508755324184
141,249,0.003682560340747752
142,259,0.003830454330336015
143,287,0.004244557501183152
144,260,0.0038452437292948415
145,271,0.004007927117841931
146,232,0.003431140558447705
147,277,0.004096663511594888
148,244,0.0036086133459536204
149,276,0.004081874112636063
150,260,0.0038452437292948415
151,256,0.003786086133459536
152,255,0.0037712967345007098
153,250,0.0036973497397065785
154,243,0.003593823946994794
155,247,0.0036529815428300995
156,269,0.0039783483199242785
157,256,0.003786086133459536
158,287,0.004244557501183152
159,251,0.003712139138665405
160,279,0.004126242309512541
161,271,0.004007927117841931
162,254,0.0037565073355418834
163,266,0.0039339801230477995
164,260,0.0038452437292948415
165,243,0.003593823946994794
166,289,0.0042741362991008044
167,227,0.003357193563653573
168,269,0.0039783483199242785
169,283,0.004185399905347846
170,257,0.0038008755324183624
171,256,0.003786086133459536
172,279,0.004126242309512541
173,275,0.0040670847136772366
174,270,0.003993137718883105
175,289,0.0042741362991008044
176,258,0.0038156649313771888
177,259,0.003830454330336015
178,289,0.0042741362991008044
179,301,0.0044516090866067205
180,261,0.003860033128253668
181,277,0.004096663511594888
182,281,0.004155821107430194
183,244,0.0036086133459536204
184,278,0.004111452910553715
185,282,0.00417061050638902
186,216,0.003194510175106484
187,266,0.0039339801230477995
188,266,0.0039339801230477995
189,254,0.0037565073355418834
190,263,0.0038896119261713205
191,279,0.004126242309512541
192,244,0.0036086133459536204
193,266,0.0039339801230477995
194,236,0.0034902981542830097
195,298,0.0044072408897302415
196,279,0.004126242309512541
197,274,0.00405229531471841
198,234,0.0034607193563653575
199,269,0.0039783483199242785
200,275,0.0040670847136772366
201,270,0.003993137718883105
202,250,0.0036973497397065785
203,248,0.003667770941788926
204,261,0.003860033128253668
205,269,0.0039783483199242785
206,263,0.0038896119261713205
207,251,0.003712139138665405
208,274,0.00405229531471841
209,276,0.004081874112636063
210,275,0.0040670847136772366
211,262,0.003874822527212494
212,249,0.003682560340747752
213,295,0.0043628726928537625
214,267,0.003948769522006626
215,279,0.004126242309512541
216,278,0.004111452910553715
217,284,0.004200189304306673
218,249,0.003682560340747752
219,258,0.0038156649313771888
220,241,0.0035642451490771414
221,284,0.004200189304306673
222,275,0.0040670847136772366
223,288,0.004259346900141978
224,281,0.004155821107430194
225,231,0.0034163511594888785
226,252,0.0037269285376242307
227,238,0.0035198769522006624
228,275,0.0040670847136772366
229,248,0.003667770941788926
230,255,0.0037712967345007098
231,274,0.00405229531471841
232,234,0.0034607193563653575
233,248,0.003667770941788926
234,256,0.003786086133459536
235,245,0.003623402744912447
236,257,0.0038008755324183624
237,272,0.0040227165168007575
238,247,0.0036529815428300995
239,239,0.0035346663511594888
240,243,0.003593823946994794
241,279,0.004126242309512541
242,282,0.00417061050638902
243,284,0.004200189304306673
244,237,0.003505087553241836
245,274,0.00405229531471841
246,262,0.003874822527212494
247,299,0.004422030288689068
248,270,0.003993137718883105
249,265,0.003919190724088973
250,278,0.004111452910553715
251,305,0.004510766682442026
252,252,0.0037269285376242307
253,251,0.003712139138665405
254,241,0.0035642451490771414
255,253,0.003741717936583057
