lag,autocorrelation
1,-0.0015263761360602322
2,-0.0024012151379049886
3,-0.0032638464822577723
4,-0.0005644207443332367
5,-0.0007369073388307619
6,0.002682947913332677
7,-0.0009357331909769971
8,-0.0006582412779841146
9,0.0058587336127144925
10,-0.0011701812287311158
11,0.004043762030245085
12,0.006985840412253235
13,0.00307394086292107
14,-0.0025378914094951765
15,0.0024480896444085847
16,0.005514404832988082
17,0.0006842270025989985
18,0.007398021678319214
19,-0.005076473323890031
20,-0.0009486777904552145
21,-0.006620120543133146
22,-0.003137582951117226
23,0.0014067216488908435
24,0.001558876673394105
25,-8.41121305361947e-05
26,-0.0037925694897832825
27,-0.001881340782455474
28,-0.0025447170711907323
29,0.00044942469784128847
30,-0.003813261570352102
31,0.004163382840115765
32,0.003719943924581714
