lag,autocorrelation
1,-0.0016616957337131945
2,-0.0010391660625405953
3,0.0009072624343671495
4,-0.0012696126359301226
5,-0.0006469755247489355
6,0.000731054404437681
7,-0.0008299188968528516
8,-0.00014770765099394626
9,0.0004545899317693731
10,-0.0012550985217041598
11,0.001285311386755964
12,-0.0003213624549298151
13,-0.0007584517831546756
14,-0.0010789276783330782
15,0.0010474508821146933
16,-0.0009683341596954056
17,0.0018028221215446723
18,0.0015087961872156748
19,-0.0002801269325573694
20,0.0005637133018148907
21,0.00022113333756228795
22,0.0006363215601520031
23,-0.001084430904398128
24,7.377293654427025e-05
25,0.0015470163023327214
26,-0.0009101055356669154
27,0.0008034620933020763
28,-0.0015442222161645826
29,0.0002773939590559071
30,0.00038956748390511076
31,0.0008569179595820966
32,-0.0013654517936735329
