label,file,bytes,blocks_32b,trailing_bytes,unique_byte_values,shannon_bits_per_byte,min_entropy_bits_per_byte,chi_square,chi_square_p_value,bit_count,zeros,ones,zeros_ratio,ones_ratio,monobit_s_obs,monobit_p_value,runs_count,runs_p_value,runs_applicable,byte_autocorrelation_lag1,bit_autocorrelation_lag1,block_size,total_blocks,unique_blocks,repeated_blocks,longest_repeated_byte_run,most_frequent_byte,most_frequent_count,most_frequent_probability,zlib_compression_ratio,window_size,window_count,window_shannon_min,window_shannon_mean,window_shannon_max,scipy_available
final_active,data/captures/13_33_04_09_2026/entropy_final_active.bin,74912,2341,0,256,7.997033829886508,7.67720938082797,310.52029047415635,0.009935025209180279,599296,299810,299486,0.5002703171721486,0.49972968282785135,0.418527809771738,0.6755612581440911,299661,0.9730271901061252,True,-0.0011682065491924075,-4.20097884398186e-05,32,2341,2341,0,3,163,366,0.004885732592909013,1.0004138188808203,32768,2,7.993057677528602,7.993634119512949,7.994210561497295,True
final_xor,data/captures/13_33_04_09_2026/entropy_final_xor.bin,74912,2341,0,256,7.997558899459686,7.775056704226115,253.48483554036738,0.515030692005195,599296,299803,299493,0.5002586368005126,0.4997413631994874,0.40044327478160113,0.6888300560012384,299943,0.4458563202906357,True,-0.00030112928187504037,-0.0009830875926399006,32,2341,2341,0,3,69,342,0.004565356685177275,1.0004138188808203,32768,2,7.99434748373314,7.994388774106288,7.994430064479436,True
source_qrng,data/captures/13_33_04_09_2026/entropy_source_qrng.bin,74912,2341,0,256,7.997656119304716,7.7708444529392,242.72703972661256,0.6994368952860406,599296,299870,299426,0.5003704346433149,0.4996295653566852,0.5735381096871964,0.5662804032131958,299346,0.4355121263260673,True,-0.0013986123760047603,0.001008971186236762,32,2341,2341,0,3,217,343,0.004578705681332763,1.0004138188808203,32768,2,7.994039936674676,7.9942678277495975,7.99449571882452,True
source_trng,data/captures/13_33_04_09_2026/entropy_source_trng.bin,74912,2341,0,256,7.9973123414561895,7.762456667446481,278.5681332763776,0.1486137685768372,599296,299895,299401,0.5004121502563007,0.4995878497436993,0.6381257346519709,0.52339183565609,299952,0.43191900812323913,True,-0.0012383226168431747,-0.0010135369328680118,32,2341,2341,0,3,108,345,0.004605403673643742,1.0004138188808203,32768,2,7.993644612569835,7.993948578980997,7.994252545392159,True
