byte_value,count,probability
0,3915,0.004018648994875838
1,3795,0.0038954720141899882
2,3798,0.0038985514387071345
3,3850,0.003951928130337669
4,3773,0.0038728895677309157
5,3820,0.003921133885166207
6,3819,0.0039201074103271585
7,3871,0.0039734841019576925
8,3836,0.003937557482590987
9,3866,0.003968351727762449
10,3689,0.003786665681250821
11,3879,0.003981695900670083
12,3914,0.004017622520036789
13,3764,0.0038636512941794773
14,3867,0.003969378202601498
15,3855,0.003957060504532913
16,3800,0.0039006043883852318
17,3922,0.004025834318749179
18,3857,0.00395911345421101
19,3700,0.0037979569044803573
20,3893,0.0039960665484167655
21,3848,0.003949875180659572
22,3791,0.0038913661148337934
23,3818,0.003919080935488109
24,3784,0.003884180790960452
25,3832,0.003933451583234791
26,3763,0.0038626248193404282
27,3752,0.003851333596110892
28,3730,0.0038287511496518196
29,3857,0.00395911345421101
30,3859,0.003961166403889108
31,3779,0.0038790484167652082
32,3868,0.003970404677440547
33,3683,0.0037805068322165286
34,3814,0.0039149750361319145
35,3776,0.003875968992248062
36,3771,0.0038708366180528185
37,3849,0.00395090165549862
38,3853,0.003955007554854816
39,3795,0.0038954720141899882
40,3710,0.0038082216528708447
41,3782,0.0038821278412823545
42,3843,0.003944742806464328
43,3824,0.0039252397845224015
44,3734,0.0038328570490080145
45,3809,0.003909842661936671
46,3833,0.003934478058073841
47,3840,0.003941663381947182
48,3930,0.004034046117461569
49,3781,0.003881101366443306
50,3859,0.003961166403889108
51,3961,0.00406586683747208
52,3841,0.003942689856786231
53,3866,0.003968351727762449
54,3766,0.0038657042438575745
55,3720,0.003818486401261332
56,3864,0.003966298778084351
57,3757,0.0038564659703061357
58,3744,0.003843121797398502
59,3830,0.003931398633556694
60,3888,0.0039909341742215216
61,3771,0.0038708366180528185
62,3794,0.0038944455393509396
63,3800,0.0039006043883852318
64,3804,0.003904710287741427
65,3768,0.003867757193535672
66,3776,0.003875968992248062
67,3755,0.0038544130206280384
68,3797,0.0038975249638680855
69,3836,0.003937557482590987
70,3785,0.003885207265799501
71,3803,0.003903683812902378
72,3782,0.0038821278412823545
73,3750,0.0038492806464327945
74,3792,0.003892392589672842
75,3756,0.003855439495467087
76,3871,0.0039734841019576925
77,3791,0.0038913661148337934
78,3871,0.0039734841019576925
79,3834,0.003935504532912889
80,3888,0.0039909341742215216
81,3627,0.003723024241229799
82,3846,0.0039478222309814745
83,3854,0.003956034029693864
84,3743,0.0038420953225594533
85,3731,0.0038297776244908687
86,3777,0.0038769954670871106
87,3941,0.004045337340691105
88,3881,0.00398374885034818
89,3893,0.0039960665484167655
90,3835,0.003936531007751938
91,3847,0.003948848705820523
92,3612,0.003707627118644068
93,3661,0.0037579243857574565
94,3846,0.0039478222309814745
95,3913,0.00401659604519774
96,3833,0.003934478058073841
97,3784,0.003884180790960452
98,3875,0.003977590001313888
99,3827,0.003928319209039548
100,3907,0.004010437196163448
101,3852,0.003953981080015766
102,3774,0.0038739160425699647
103,3767,0.003866730718696623
104,3823,0.003924213309683353
105,3779,0.0038790484167652082
106,3750,0.0038492806464327945
107,3850,0.003951928130337669
108,3784,0.003884180790960452
109,3772,0.003871863092891867
110,3826,0.0039272927342005
111,3697,0.003794877479963211
112,3844,0.0039457692813033764
113,3877,0.003979642950991985
114,3728,0.0038266981999737224
115,3859,0.003961166403889108
116,3892,0.003995040073577717
117,3781,0.003881101366443306
118,3845,0.003946795756142425
119,3794,0.0038944455393509396
120,3776,0.003875968992248062
121,3838,0.003939610432269084
122,3914,0.004017622520036789
123,3741,0.003840042372881356
124,3764,0.0038636512941794773
125,3923,0.004026860793588227
126,3857,0.00395911345421101
127,3770,0.0038698101432137694
128,3762,0.0038615983445013796
129,3852,0.003953981080015766
130,3803,0.003903683812902378
131,3881,0.00398374885034818
132,3886,0.003988881224543424
133,3788,0.003888286690316647
134,3749,0.003848254171593746
135,3789,0.0038893131651556957
136,3766,0.0038657042438575745
137,3775,0.0038749425174090133
138,3856,0.0039580869793719616
139,3791,0.0038913661148337934
140,3772,0.003871863092891867
141,3718,0.003816433451583235
142,3763,0.0038626248193404282
143,3826,0.0039272927342005
144,3869,0.003971431152279595
145,3854,0.003956034029693864
146,3893,0.0039960665484167655
147,3802,0.0039026573380633294
148,3736,0.003834909998686112
149,3846,0.0039478222309814745
150,3838,0.003939610432269084
151,3719,0.0038174599264222835
152,3837,0.003938583957430035
153,3861,0.0039632193535672055
154,3687,0.0037846127315727235
155,3736,0.003834909998686112
156,3745,0.003844148272237551
157,3805,0.0039057367625804757
158,3756,0.003855439495467087
159,3731,0.0038297776244908687
160,3784,0.003884180790960452
161,3844,0.0039457692813033764
162,3864,0.003966298778084351
163,3741,0.003840042372881356
164,3817,0.00391805446064906
165,3796,0.003896498489029037
166,3848,0.003949875180659572
167,3732,0.0038308040993299173
168,3742,0.0038410688477204047
169,3729,0.003827724674812771
170,3627,0.003723024241229799
171,3841,0.003942689856786231
172,3758,0.0038574924451451847
173,3702,0.003800009854158455
174,3753,0.003852360070949941
175,3796,0.003896498489029037
176,3848,0.003949875180659572
177,3800,0.0039006043883852318
178,3828,0.003929345683878597
179,3828,0.003929345683878597
180,3779,0.0038790484167652082
181,3822,0.003923186834844304
182,3779,0.0038790484167652082
183,3785,0.003885207265799501
184,3834,0.003935504532912889
185,3744,0.003843121797398502
186,3823,0.003924213309683353
187,3836,0.003937557482590987
188,3892,0.003995040073577717
189,3840,0.003941663381947182
190,3702,0.003800009854158455
191,3824,0.0039252397845224015
192,3735,0.0038338835238470636
193,3811,0.003911895611614768
194,3713,0.003811301077387991
195,3810,0.003910869136775719
196,3755,0.0038544130206280384
197,3802,0.0039026573380633294
198,3774,0.0038739160425699647
199,3888,0.0039909341742215216
200,3732,0.0038308040993299173
201,3796,0.003896498489029037
