byte_value,count,probability
0,3754,0.0039172064912515025
1,3703,0.0038639892480299186
2,3754,0.0039172064912515025
3,3715,0.00387651095231735
4,3690,0.003850424068385201
5,3737,0.003899467410177641
6,3761,0.003924510818752504
7,3699,0.0038598153466007745
8,3720,0.00388172832910378
9,3759,0.003922423868037933
10,3716,0.0038775544276746362
11,3713,0.0038744240016027783
12,3768,0.003931815146253506
13,3735,0.0038973804594630694
14,3730,0.0038921630826766395
15,3721,0.003882771804461066
16,3803,0.003968336783758515
17,3692,0.003852511019099773
18,3793,0.003957902030185655
19,3758,0.003921380392680646
20,3735,0.0038973804594630694
21,3796,0.003961032456257513
22,3794,0.003958945505542941
23,3700,0.0038608588219580606
24,3824,0.00399024976626152
25,3744,0.003906771737678643
26,3717,0.003878597903031922
27,3775,0.0039391194737545075
28,3657,0.003815989381594764
29,3690,0.003850424068385201
30,3813,0.003978771537331375
31,3750,0.003913032589822359
32,3796,0.003961032456257513
33,3770,0.003933902096968078
34,3764,0.003927641244824362
35,3717,0.003878597903031922
36,3774,0.003938075998397222
37,3591,0.003747120008013891
38,3758,0.003921380392680646
39,3785,0.003949554227327367
40,3657,0.003815989381594764
41,3771,0.003934945572325364
42,3750,0.003913032589822359
43,3835,0.004001727995191665
44,3700,0.0038608588219580606
45,3834,0.0040006845198343795
46,3685,0.003845206691598771
47,3701,0.0038619022973153468
48,3685,0.003845206691598771
49,3659,0.003818076332309336
50,3730,0.0038921630826766395
51,3685,0.003845206691598771
52,3759,0.003922423868037933
53,3789,0.003953728128756512
54,3715,0.00387651095231735
55,3708,0.0038692066248163484
56,3772,0.00393598904768265
57,3741,0.0039036413116067853
58,3719,0.0038806848537464938
59,3710,0.0038712935755309203
60,3677,0.0038368588887404834
61,3838,0.004004858421263523
62,3682,0.003842076265526913
63,3770,0.003933902096968078
64,3817,0.003982945438760518
65,3706,0.0038671196741017766
66,3737,0.003899467410177641
67,3715,0.00387651095231735
68,3844,0.004011119273407239
69,3715,0.00387651095231735
70,3643,0.003801380726592761
71,3707,0.0038681631494590623
72,3746,0.003908858688393215
73,3691,0.003851467543742487
74,3734,0.0038963369841057832
75,3797,0.003962075931614799
76,3856,0.004023640977694671
77,3788,0.003952684653399225
78,3753,0.003916163015894217
79,3719,0.0038806848537464938
80,3625,0.0037825981701616134
81,3760,0.0039234673433952184
82,3670,0.0038295545612394817
83,3888,0.004057032189127821
84,3774,0.003938075998397222
85,3661,0.0038201632830239082
