byte_value,count,probability
0,247,0.0037002636625119846
1,276,0.00413470757430489
2,266,0.003984899328859061
3,274,0.004104745925215724
4,267,0.003999880153403643
5,244,0.003655321188878236
6,260,0.0038950143815915626
7,240,0.003595397890699904
8,235,0.0035204937679769893
9,262,0.003924976030680729
10,269,0.004029841802492809
11,251,0.0037601869606903164
12,265,0.0039699185043144776
13,245,0.0036703020134228187
14,263,0.003939956855225311
15,260,0.0038950143815915626
16,263,0.003939956855225311
17,292,0.004374400767018217
18,278,0.004164669223394056
19,255,0.003820110258868648
20,262,0.003924976030680729
21,255,0.003820110258868648
22,257,0.003850071907957814
23,254,0.0038051294343240654
24,269,0.004029841802492809
25,272,0.004074784276126558
26,253,0.0037901486097794822
27,276,0.00413470757430489
28,269,0.004029841802492809
29,244,0.003655321188878236
30,260,0.0038950143815915626
31,245,0.0036703020134228187
32,264,0.003954937679769894
33,280,0.0041946308724832215
34,316,0.0047339405560882074
35,267,0.003999880153403643
36,267,0.003999880153403643
37,252,0.0037751677852348995
38,260,0.0038950143815915626
39,248,0.0037152444870565677
40,267,0.003999880153403643
41,269,0.004029841802492809
42,248,0.0037152444870565677
43,253,0.0037901486097794822
44,246,0.003685282837967402
45,256,0.003835091083413231
46,266,0.003984899328859061
47,255,0.003820110258868648
48,263,0.003939956855225311
49,246,0.003685282837967402
50,242,0.00362535953978907
51,266,0.003984899328859061
52,243,0.003640340364333653
53,238,0.0035654362416107383
54,271,0.004059803451581975
55,258,0.0038650527325023967
56,266,0.003984899328859061
57,282,0.004224592521572387
58,256,0.003835091083413231
59,235,0.0035204937679769893
60,275,0.0041197267497603066
61,262,0.003924976030680729
62,292,0.004374400767018217
63,249,0.0037302253116011505
64,254,0.0038051294343240654
65,268,0.004014860977948226
66,243,0.003640340364333653
67,264,0.003954937679769894
68,272,0.004074784276126558
69,268,0.004014860977948226
70,230,0.0034455896452540748
71,246,0.003685282837967402
72,242,0.00362535953978907
73,240,0.003595397890699904
74,231,0.003460570469798658
75,270,0.0040448226270373925
76,264,0.003954937679769894
77,239,0.003580417066155321
78,260,0.0038950143815915626
79,260,0.0038950143815915626
80,290,0.0043444391179290505
81,236,0.0035354745925215724
82,251,0.0037601869606903164
83,269,0.004029841802492809
84,284,0.004254554170661553
85,262,0.003924976030680729
86,269,0.004029841802492809
87,251,0.0037601869606903164
88,247,0.0037002636625119846
89,276,0.00413470757430489
90,269,0.004029841802492809
91,269,0.004029841802492809
92,272,0.004074784276126558
93,276,0.00413470757430489
94,270,0.0040448226270373925
95,285,0.004269534995206136
96,258,0.0038650527325023967
97,303,0.004539189837008629
98,291,0.004359419942473634
99,253,0.0037901486097794822
100,278,0.004164669223394056
101,245,0.0036703020134228187
102,265,0.0039699185043144776
103,259,0.00388003355704698
104,240,0.003595397890699904
105,284,0.004254554170661553
106,271,0.004059803451581975
107,279,0.004179650047938638
108,280,0.0041946308724832215
109,285,0.004269534995206136
110,277,0.004149688398849473
111,244,0.003655321188878236
112,264,0.003954937679769894
113,234,0.0035055129434324065
114,260,0.0038950143815915626
115,248,0.0037152444870565677
116,252,0.0037751677852348995
117,279,0.004179650047938638
118,239,0.003580417066155321
119,245,0.0036703020134228187
120,287,0.004299496644295302
121,254,0.0038051294343240654
122,242,0.00362535953978907
123,274,0.004104745925215724
124,257,0.003850071907957814
125,262,0.003924976030680729
126,257,0.003850071907957814
127,272,0.004074784276126558
128,249,0.0037302253116011505
129,243,0.003640340364333653
130,290,0.0043444391179290505
131,228,0.003415627996164909
132,256,0.003835091083413231
133,255,0.003820110258868648
134,268,0.004014860977948226
135,257,0.003850071907957814
136,263,0.003939956855225311
137,242,0.00362535953978907
138,250,0.0037452061361457336
139,255,0.003820110258868648
140,232,0.0034755512943432407
141,244,0.003655321188878236
142,269,0.004029841802492809
143,244,0.003655321188878236
144,286,0.004284515819750719
145,289,0.004329458293384468
146,256,0.003835091083413231
147,246,0.003685282837967402
148,264,0.003954937679769894
149,269,0.004029841802492809
150,270,0.0040448226270373925
151,262,0.003924976030680729
152,248,0.0037152444870565677
153,270,0.0040448226270373925
