label,file,bytes,blocks_32b,trailing_bytes,unique_byte_values,shannon_bits_per_byte,min_entropy_bits_per_byte,chi_square,chi_square_p_value,bit_count,zeros,ones,zeros_ratio,ones_ratio,monobit_s_obs,monobit_p_value,runs_count,runs_p_value,runs_applicable,byte_autocorrelation_lag1,bit_autocorrelation_lag1,block_size,total_blocks,unique_blocks,repeated_blocks,longest_repeated_byte_run,most_frequent_byte,most_frequent_count,most_frequent_probability,zlib_compression_ratio,window_size,window_count,window_shannon_min,window_shannon_mean,window_shannon_max,scipy_available
final_active,data/captures/21_09_03_09_2026/entropy_final_active.bin,66752,2086,0,256,7.997018069181394,7.722742694342663,276.64813039309684,0.168009647426526,534016,267190,266826,0.5003408137583892,0.49965918624161076,0.49810883961979896,0.6184073304292141,267570,0.12393702539270306,True,-0.0037731714793365714,-0.002103402775003113,32,2086,2086,0,2,34,316,0.0047339405560882074,1.000464405560882,32768,2,7.993931495112324,7.994234999501079,7.994538503889833,True
final_xor,data/captures/21_09_03_09_2026/entropy_final_xor.bin,66752,2086,0,256,7.99743235025836,7.773858010069517,238.90316395014383,0.7576212681412933,534016,266770,267246,0.49955432046979864,0.5004456795302014,0.6513730979643525,0.5148056721987593,267011,0.9929857279454718,True,-0.0035722356498029315,-1.0154230028378198e-05,32,2086,2086,0,3,74,305,0.004569151486097794,1.000464405560882,32768,2,7.994799330879566,7.994997127903254,7.995194924926941,True
source_qrng,data/captures/21_09_03_09_2026/entropy_source_qrng.bin,66752,2086,0,256,7.9976026476019,7.792903765760063,221.49952061361458,0.9362466913958715,534016,267648,266368,0.5011984659635667,0.49880153403643335,1.7515915239377544,0.0798440710901288,267208,0.5812402773503451,True,-0.002428235960034579,-0.0007529196497429295,32,2086,2086,0,3,163,301,0.0045092281879194635,1.000464405560882,32768,2,7.9942523893307555,7.994752671860143,7.995252954389531,True
source_trng,data/captures/21_09_03_09_2026/entropy_source_trng.bin,66752,2086,0,256,7.997385283596865,7.745752672389163,241.51869606903165,0.7184222486407315,534016,267156,266860,0.5002771452540747,0.4997228547459252,0.4050555399106057,0.685436686266496,266710,0.414865967179052,True,-0.0001896840184862753,0.0011176392328839124,32,2086,2086,0,3,156,311,0.0046590364333652925,1.000464405560882,32768,2,7.994104898407731,7.994406686939644,7.994708475471558,True
